harvested,deficiency ,recommended Crop,reason for recommended crop),fertilizers,pesticides,organic Matter
Cowpea (Lobia) variant19,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Moth bean (Matki) variant20,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Horse gram (Kulthi) variant21,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cluster bean (Guar) variant22,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Soybean variant23,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Groundnut (Peanut) variant24,Calcium (Ca) and Boron (B) deficiency,"Sorghum (ज्वार), Bajra (बाजरा), Maize (मक्का)",Millets and cereals tolerate marginal Ca/B soils and their residues increase organic matter; targeted boron & lime correct soils. — मिलेट्स और लक्षित Boron अनुप्रयोग से कमी पूरी होती है।,DAP 100 kg/ha + Borax 10 kg/ha (P and B correction),Malathion 5% dust (pod borer control),Bio-slurry compost 3–4 t/ha (adds Ca and organic acids)
Sesame (Til) variant25,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Sunflower variant26,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Mustard,Nitrogen (N) and Sulfur (S) depletion,"Green gram (मूंग), Cowpea (लोबिया), Soybean (सोयाबीन)",Brassicas use large N/S; following them with legumes restores N biologically and residues contribute organic S. — ब्रासिका के बाद लेग्यूम N और S बहाल करते हैं।,Urea 60 kg/ha + SSP 120 kg/ha (N and S balance),Neem-based pesticide (eco-friendly),FYM 4–5 t/ha (improves N retention and soil life)
Linseed (Flax) variant28,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Castor variant29,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Safflower variant30,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cotton variant31,Nitrogen (N) and Sulfur (S) deficiency,"Soybean (सोयाबीन), Black gram (उड़द), Green gram (मूंग)","Legumes rebuild N and, with gypsum or organic S sources, restore sulfur pools; cropping diversity boosts microbes. — लेग्यूम N लौटाती हैं और जिप्सम S बहाल करता है।",Urea 70 kg/ha + Gypsum 100 kg/ha (N and S correction),Triazophos 40 EC (bollworm control),Vermicompost 2 t/ha (improves nutrient uptake and soil biology)
Sugarcane variant32,Potassium (K) depletion,"Gram (चना), Lentil (मसूर), Pea (मटर)",Deep-rooted pulses recycle K from subsoil and add biomass which slowly releases K improving long-term K balance. — गहरी जड़ें K पुनर्चक्रण कर संतुलन बहाल करती हैं।,MOP 60 kg/ha + DAP 80 kg/ha (K replenishment and basal P),Neem oil spray (botanical control),Press-mud compost 3–5 t/ha (rich in K and organic carbon)
Potato variant33,Phosphorus (P) and Organic carbon loss,"Maize (मक्का), Pearl millet (Bajra) (बाजरा), Cowpea (लोबिया)",Cereal-legume rotations stabilize P cycling and add labile carbon; residues improve aggregation and microbial P mineralization. — रोटेशन P चक्र और कार्बन संतुलित करता है।,SSP 150 kg/ha + Urea 50 kg/ha (P restoration and starter N),Mancozeb + Metalaxyl (late blight and fungal control),Cow dung compost 5 t/ha (adds humus and microbial diversity)
Sweet potato variant34,Phosphorus (P) and Organic carbon loss,"Maize (मक्का), Pearl millet (Bajra) (बाजरा), Cowpea (लोबिया)",Cereal-legume rotations stabilize P cycling and add labile carbon; residues improve aggregation and microbial P mineralization. — रोटेशन P चक्र और कार्बन संतुलित करता है।,SSP 150 kg/ha + Urea 50 kg/ha (P restoration and starter N),Mancozeb + Metalaxyl (late blight and fungal control),Cow dung compost 5 t/ha (adds humus and microbial diversity)
Tomato variant35,Zinc (Zn) and Boron (B) deficiency,"Maize (मक्का), Cowpea (लोबिया), Okra (भिंडी)",Rotation out of Solanaceae reduces pathogen load; legumes add N while residues and foliar Zn/B correct micronutrients. — सोलानेसी चक्रीय अंतर रोग कम करता है और Zn/B बहाल करते हैं।,Zinc sulfate 25 kg/ha + DAP 100 kg/ha (Zn correction and base nutrition),Imidacloprid 17.8 SL (sucking pests) + Mancozeb for fungal issues,Vegetable waste compost 3–5 t/ha (recycles nutrients and organic acids)
Brinjal (Eggplant) variant36,Zinc (Zn) and Boron (B) deficiency,"Maize (मक्का), Cowpea (लोबिया), Okra (भिंडी)",Rotation out of Solanaceae reduces pathogen load; legumes add N while residues and foliar Zn/B correct micronutrients. — सोलानेसी चक्रीय अंतर रोग कम करता है और Zn/B बहाल करते हैं।,Zinc sulfate 25 kg/ha + DAP 100 kg/ha (Zn correction and base nutrition),Imidacloprid 17.8 SL (sucking pests) + Mancozeb for fungal issues,Vegetable waste compost 3–5 t/ha (recycles nutrients and organic acids)
Okra (Lady's finger) variant37,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Chilli variant38,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Capsicum variant39,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cabbage variant40,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cauliflower variant41,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Broccoli variant42,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Onion variant43,Nitrogen (N) deficiency,"Green gram (मूंग), Lentil (मसूर), Cowpea (लोबिया)",Short-duration legumes between cycles fix N rapidly and supply mineralizable N for bulbs while reducing pest carryover. — छोटी लेग्यूम N देती हैं और कीट कम करती हैं।,Urea 40 kg/ha + SSP 100 kg/ha (top dressing N and basal P),Dithane M-45 (fungal leaf spot),Vermicompost 2–3 t/ha (fine texture improves bulb development)
Garlic variant44,Nitrogen (N) deficiency,"Green gram (मूंग), Lentil (मसूर), Cowpea (लोबिया)",Short-duration legumes between cycles fix N rapidly and supply mineralizable N for bulbs while reducing pest carryover. — छोटी लेग्यूम N देती हैं और कीट कम करती हैं।,Urea 40 kg/ha + SSP 100 kg/ha (top dressing N and basal P),Dithane M-45 (fungal leaf spot),Vermicompost 2–3 t/ha (fine texture improves bulb development)
Carrot variant45,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Beetroot variant46,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Radish variant47,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Cucumber variant48,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Bitter gourd variant49,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
Bottle gourd variant50,General nutrient depletion (NPK) and organic carbon loss,"Green gram (मूंग), Cowpea (लोबिया), Maize (मक्का)",Rotation with legumes and adding organic matter restores major nutrients and improves soil health. — लेग्यूम रोटेशन व जैविक पदार्थ से मुख्य पोषक और मिट्टी सुधरती है।,Balanced NPK as per crop + FYM 3–5 t/ha,"Use IPM (Neem, biocontrols) and minimal synthetic insecticides",Compost or FYM 3–5 t/ha (restores organic carbon and microbes)
